reaction_id,reaction_type,ligand_gold,base_gold,solvent_gold,ligand_topk,base_topk,solvent_topk,ligand_hit,base_hit,solvent_hit
31-367-CAS-21822018,Other,[],121-44-8,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-21822019,Other,[],121-44-8,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-21822021,Other,[],121-44-8,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-21822022,Other,[],121-44-8,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-21894967,Other,[],,Dimethylformamide|68-12-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-21911742,Other,[],148893-10-1,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-21945245,Other,[],121-44-8,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-21974278,Other,[],,Tetrahydrofuran|109-99-9,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-21974286,Other,[],,Tetrahydrofuran|109-99-9,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-21978534,Other,[],2592-95-2,Dimethylformamide|68-12-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-21978535,Other,[],2592-95-2,Dimethylformamide|68-12-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-21978536,Other,[],2592-95-2,Dimethylformamide|68-12-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-21978537,Other,[],2592-95-2,Dimethylformamide|68-12-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-22020035,Other,[],7719-09-7,Xylene|1330-20-7,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-22020083,Other,[],,Dimethylformamide|68-12-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-22020084,Other,[],,Dimethylformamide|68-12-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-22020120,Other,[],,Dimethylformamide|68-12-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-22303119,Other,[],121-44-8,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-22370048,Other,[],79-37-8,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-22401841,Other,[],7087-68-5,Dimethylformamide|68-12-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-22401842,Other,[],7087-68-5,Dimethylformamide|68-12-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-22401843,Other,[],7087-68-5,Dimethylformamide|68-12-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-22470947,Other,[],7087-68-5,Dimethylformamide|68-12-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-22486109,Other,[],7719-09-7,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-22493175,Other,[],148893-10-1,Dimethylformamide|68-12-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-22513054,Other,[],7087-68-5,Dimethylformamide|68-12-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-22513060,Other,[],7087-68-5,N-Methyl-2-pyrrolidone|872-50-4,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-22568847,Other,[],121-44-8,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-22568850,Other,[],121-44-8,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-22615131,Other,[],7087-68-5,Dimethylformamide|68-12-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-22629929,Other,[],,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-22631808,Other,[],,Dimethylformamide|68-12-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-22631809,Other,[],,Dimethylformamide|68-12-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-22706647,Other,[],7719-09-7,Dichloromethane|75-09-2,"['PPh3', 'PtBu3', 'SPhos']","['DMAP', 'Et3N', 'DIPEA']","['Acetic Acid', 'Dimethylformamide', 'N-Methyl-2-pyrrolidone']",False,False,False
31-367-CAS-22706648,Other,[],7719-09-7,Dichloromethane|75-09-2,"['PPh3', 'PtBu3', 'SPhos']","['DMAP', 'Et3N', 'DIPEA']","['Acetic Acid', 'Dimethylformamide', 'N-Methyl-2-pyrrolidone']",False,False,False
31-367-CAS-22706649,Other,[],7719-09-7,Dichloromethane|75-09-2,"['PPh3', 'PtBu3', 'SPhos']","['DMAP', 'Et3N', 'DIPEA']","['Acetic Acid', 'Dimethylformamide', 'N-Methyl-2-pyrrolidone']",False,False,False
31-367-CAS-22721830,Other,[],1892-57-5,Dimethylformamide|68-12-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-22759240,Other,[],7087-68-5,Dimethylformamide|68-12-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-22782720,Other,[],25952-53-8,Dimethylformamide|68-12-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-22827989,Other,[],538-75-0,Ethyl acetate|141-78-6,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-22829000,Other,[],538-75-0,Ethyl acetate|141-78-6,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-22856831,Other,[],,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-22861646,Other,[],,Dimethylformamide|68-12-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-22862660,Other,[],,Dimethylformamide|68-12-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
