reaction_name
Intramolecular amination of azidobiphenyls (heterocycle formation)
Intramolecular transesterification/Lactone formation
Iodination
Julia Olefination
Ketal hydrolysis to ketone
Ketone from Grignard and CO2
Ketone from Li and CO2
"Ketone from Li, Grignard and CO2"
"Ketone from Li, halide and CO2"
Ketone from Weinreb amide
Ketone/aldehyde to hydrazone
Ketonization by decarboxylation of acid halides
Ketonization by decarboxylation of carbonic acids
Knoevenagel Condensation
Kumada cross-coupling
Markovnikov alkene hydration to alcohol
Meerwein arylation of vinyl ethers
Methylation
Methylation of OH with DMS
Methylation with DMC
Methylation with DMS
Methylation with MeI_SH
Methylation with MeI_aryl
Methylation with MeI_primary
Methylation with MeI_secondary
Methylation with MeI_tertiary
Michael addition
Michael addition methyl
Michael-induced ring closure from diazoalkane
Michael-induced ring closure from hydrazone
Mignonac reaction
Minisci (ortho)
Minisci (ortho-cyanide)
Minisci (para)
Minisci (para-cyanide)
Minisci-like halide substitution
Mitsunobu aryl ether
Mitsunobu aryl ether (intramolecular)
Mitsunobu esterification
N-alkylation of primary amines with alkyl halides
N-alkylation of secondary amines with alkyl halides
N-arylation (Buchwald-Hartwig/Ullmann-Goldberg)
N-methylation
Nef reaction (nitro to ketone)
Negishi coupling
Newman-Kwart rearrangement
Nitrile to amide
Non-aromatic nitration with HNO3
Nucleophilic substitution OH - alkyl silane
O-alkylation of amides with diazo compounds
O-alkylation of carboxylic acids with diazo compounds
O-methylation
Olefination of aldehydes with Grignard reagents
Olefination of ketones with Grignard reagents
Oxidation of alcohol and aldehyde to ester
Oxidation of alcohol to carboxylic acid
Oxidation of aldehydes to carboxylic acids
Oxidation of alkene to carboxylic acid
Oxidation of amide to carboxylic acid
Oxidation of boronic acids
Oxidation of boronic esters
Oxidation of ketone to carboxylic acid
Oxidation of nitrile to carboxylic acid
Oxidation or Dehydrogenation of Alcohols to Aldehydes and Ketones
Oxidative Heck reaction
Oxidative Heck reaction with vinyl ester
Oxidative esterification of primary alcohols
Oxime formation from hydroxylamine and ketone/aldehyde
Oxirane functionalization with alkyl iodide
Oxirane functionalization with ketones
Oxirane functionalization with silyl chloride
P-cleavage
Paal-Knorr pyrrole synthesis
Parnes methylation
Pauson-Khand reaction
Petasis reaction with amines aldehydes and boronic acids
Petasis reaction with amines and boronic acids
Petasis reaction with amines and boronic esters
Phenol with formaldehyde (ortho)
Phenol with formaldehyde (para)
Pinner reaction to ester
Preparation of boronic acids
Preparation of boronic acids from trifluoroborates
Preparation of boronic acids without boronic ether
Preparation of boronic ethers
Preparation of boronic ethers with bis(pinacolato)diboron
Preparation of organolithium compounds
Preparation of trialkylsilanes with Grignard reagents
Primary alkyl halide to alcohol
Primary amine to bromide
Primary amine to chloride
Primary amine to fluoride
Primary amine to iodide
"Production of 2H,1-benzopyrans"
Protection of carboxylic acid
Pyrazole formation
Quinone formation
Reaction of alkyl halides with organometallic coumpounds
Reduction of aldehydes and ketones to alcohols
Reduction of carboxylic acid to primary alcohol
Reduction of ester to primary alcohol
Reduction of ketone to secondary alcohol
Reduction of nitrile to amine
Reduction of nitro groups to amines
Reduction of primary amides to amines
Reduction of secondary amides to amines
Reduction of tertiary amides to amines
Reductive amination with alcohol
Reductive amination with aldehyde
Reductive amination with ketone
Reductive carboxylation of aryl bromides
Reductive methylation of primary amine with formaldehyde
Retro-Diels-Alder from oxazole
S-alkylation of thiols 
S-alkylation of thiols (ethyl)
S-alkylation of thiols with alcohols
S-alkylation of thiols with alcohols (ethyl)
S-methylation
Schmidt aldehyde amide
Schmidt ketone amide
Schmidt reaction acid_amine
Schmidt reaction alkene
Schmidt reaction nitrile
Schotten-Baumann to ester
Secondary alkyl halide to alcohol
Sodiation
Sonogashira acetylene_acyl halide
Sonogashira acetylene_alkenyl OTf
Sonogashira acetylene_alkenyl halide
Sonogashira acetylene_aryl OTf
Sonogashira acetylene_aryl halide
Sonogashira alkyne_acyl halide
Sonogashira alkyne_alkenyl OTf
Sonogashira alkyne_alkenyl halide
Sonogashira alkyne_aryl OTf
Sonogashira alkyne_aryl halide
Stille reaction_allyl
Stille reaction_allyl OTf
Stille reaction_aryl
Stille reaction_aryl OTf
Stille reaction_benzyl
Stille reaction_benzyl OTf
Stille reaction_other
Stille reaction_other OTf
Stille reaction_vinyl
Stille reaction_vinyl OTf
Sulfamoylarylamides from carboxylic acids and amines
Sulfanyl to sulfinyl
Sulfanyl to sulfinyl_COO
Sulfanyl to sulfinyl_H2O
Sulfanyl to sulfinyl_H2O2
Sulfanyl to sulfinyl_MeOH
Sulfanyl to sulfinyl_SO3-
Sulfanyl to sulfinyl_peroxide
Sulfanyl to sulfinyl_sulfonyl
Sulfonamide synthesis (Schotten-Baumann) primary amine
Sulfonamide synthesis (Schotten-Baumann) secondary amine
Suzuki coupling with boronic acids
Suzuki coupling with boronic acids OTf
Suzuki coupling with boronic esters
Suzuki coupling with boronic esters OTf
Suzuki coupling with sulfonic esters
Synthesis of boronic acids
Thiol-ene reaction
Transesterification
Ugi reaction
Ullmann condensation
Ullmann-Goldberg Substitution amine
Ullmann-Goldberg Substitution aryl alcohol
Ullmann-Goldberg Substitution thiol
Urea synthesis via isocyanate and diazo
Urea synthesis via isocyanate and primary amine
Urea synthesis via isocyanate and secondary amine
Urea synthesis via isocyanate and sulfonamide
Williamson Ether Synthesis
Williamson Ether Synthesis (intra to epoxy)
Wittig reaction with triphenylphosphorane
Wittig with Phosphonium
Wohl-Ziegler bromination allyl primary
Wohl-Ziegler bromination allyl secondary
Wohl-Ziegler bromination allyl tertiary
Wohl-Ziegler bromination benzyl primary
Wohl-Ziegler bromination benzyl secondary
Wohl-Ziegler bromination benzyl tertiary
Wohl-Ziegler bromination carbonyl primary
Wohl-Ziegler bromination carbonyl secondary
Wohl-Ziegler bromination carbonyl tertiary
Wrong Grignard formation
[3+2]-cycloaddition of diazoalkane and alkene
[3+2]-cycloaddition of diazoalkane and alkyne
[3+2]-cycloaddition of diazoalkane and alpha-alkene
[3+2]-cycloaddition of diazoalkane and alpha-alkyne
[3+2]-cycloaddition of hydrazone and alkene
[3+2]-cycloaddition of hydrazone and alkyne
anti-Markovnikov alkene hydration to alcohol
arylhydroxylation 
aza-Michael addition aromatic
aza-Michael addition primary
aza-Michael addition secondary
beta C(sp3) arylation
oxa-Michael addition
thia-Michael addition
thioether_nucl_sub
"{1,2,4-triazole_acetohydrazide}"
"{1,2,4-triazole_carboxylic-acid/ester}"
{3-nitrile-pyridine}
{Buchwald-Hartwig}
{Fischer indole}
{Friedlaender chinoline}
{Grignard_alcohol}
{Grignard_carbonyl}
{Heck_non-terminal_vinyl}
{Heck_terminal_vinyl}
"{Huisgen_Cu-catalyzed_1,4-subst}"
"{Huisgen_Ru-catalyzed_1,5_subst}"
{Huisgen_disubst-alkyne}
{Mitsunobu_imide}
{Mitsunobu_phenole}
{Mitsunobu_sulfonamide}
{Mitsunobu_tetrazole_1}
{Mitsunobu_tetrazole_2}
{Mitsunobu_tetrazole_3}
{Mitsunobu_tetrazole_4}
{N-arylation_heterocycles}
{Negishi}
{Niementowski_quinazoline}
{Paal-Knorr pyrrole}
{Pictet-Spengler}
{Schotten-Baumann_amide}
{Stille}
{Suzuki}
{Williamson ether}
{Wittig}
{benzimidazole_derivatives_aldehyde}
{benzimidazole_derivatives_carboxylic-acid/ester}
{benzofuran}
{benzothiazole}
{benzothiophene}
{benzoxazole_arom-aldehyde}
{benzoxazole_carboxylic-acid}
{decarboxylative_coupling}
{heteroaromatic_nuc_sub}
{imidazole}
{indole}
{nucl_sub_aromatic_ortho_nitro}
{nucl_sub_aromatic_para_nitro}
{oxadiazole}
{phthalazinone}
{piperidine_indole}
{pyrazole}
{reductive amination}
{spiro-chromanone}
{sulfon_amide}
{tetrazole_connect_regioisomere_1}
{tetrazole_connect_regioisomere_2}
{tetrazole_terminal}
{thiazole}
{thiourea}
{triaryl-imidazole}
{urea}
